,source_origin,source,source_attr,source_color,source_count,target_origin,target,target_attr,target_color,target_count,edge_weight
171,"('ブレーキペダル', '原因')",ブレーキペダル,原因,red,20,"('ブレーキ負圧電動ポンプ', '対策')",ブレーキ負圧電動ポンプ,対策,blue,20,2
172,"('ブレーキペダル', '原因')",ブレーキペダル,原因,red,20,"('おそれ', '原因')",おそれ,原因,red,30,1
173,"('ブレーキ警告灯', '原因')",ブレーキ警告灯,原因,red,20,"('ブレーキ倍力装置', '原因')",ブレーキ倍力装置,原因,red,20,2
174,"('ブレーキ警告灯', '原因')",ブレーキ警告灯,原因,red,20,"('操作力', '原因')",操作力,原因,red,20,2
175,"('ブレーキ警告灯', '原因')",ブレーキ警告灯,原因,red,20,"('警告音', '原因')",警告音,原因,red,20,2
176,"('ブレーキ警告灯', '原因')",ブレーキ警告灯,原因,red,20,"('ブレーキ負圧電動ポンプ', '対策')",ブレーキ負圧電動ポンプ,対策,blue,20,2
177,"('ブレーキ警告灯', '原因')",ブレーキ警告灯,原因,red,20,"('おそれ', '原因')",おそれ,原因,red,30,1
178,"('ブレーキ倍力装置', '原因')",ブレーキ倍力装置,原因,red,20,"('操作力', '原因')",操作力,原因,red,20,2
179,"('ブレーキ倍力装置', '原因')",ブレーキ倍力装置,原因,red,20,"('警告音', '原因')",警告音,原因,red,20,2
180,"('ブレーキ倍力装置', '原因')",ブレーキ倍力装置,原因,red,20,"('ブレーキ負圧電動ポンプ', '対策')",ブレーキ負圧電動ポンプ,対策,blue,20,2
181,"('ブレーキ倍力装置', '原因')",ブレーキ倍力装置,原因,red,20,"('おそれ', '原因')",おそれ,原因,red,30,1
182,"('操作力', '原因')",操作力,原因,red,20,"('警告音', '原因')",警告音,原因,red,20,2
183,"('操作力', '原因')",操作力,原因,red,20,"('ブレーキ負圧電動ポンプ', '対策')",ブレーキ負圧電動ポンプ,対策,blue,20,2
184,"('操作力', '原因')",操作力,原因,red,20,"('おそれ', '原因')",おそれ,原因,red,30,1
185,"('警告音', '原因')",警告音,原因,red,20,"('ブレーキ負圧電動ポンプ', '対策')",ブレーキ負圧電動ポンプ,対策,blue,20,2
186,"('警告音', '原因')",警告音,原因,red,20,"('おそれ', '原因')",おそれ,原因,red,30,1
187,"('ブレーキ負圧電動ポンプ', '対策')",ブレーキ負圧電動ポンプ,対策,blue,20,"('おそれ', '原因')",おそれ,原因,red,30,1
188,"('電気装置（エンジンコントロールハーネス）', '不具合の部位')",電気装置（エンジンコントロールハーネス）,不具合の部位,gray,10,"('損傷', '対策')",損傷,対策,blue,20,1
189,"('損傷', '対策')",損傷,対策,blue,20,"('動力伝達装置(ドライブシャフト)', '不具合の部位')",動力伝達装置(ドライブシャフト),不具合の部位,gray,10,1
190,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('シュークリアランス', '原因')",シュークリアランス,原因,red,20,2
191,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('クリップ', '原因')",クリップ,原因,red,20,2
192,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('振動入力', '原因')",振動入力,原因,red,20,2
193,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('制動力', '原因')",制動力,原因,red,20,2
194,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('アジャスター', '原因')",アジャスター,原因,red,20,2
195,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('上側クリップ', '対策')",上側クリップ,対策,blue,20,2
196,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('車両下側', '対策')",車両下側,対策,blue,20,2
197,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('スプリング', '対策')",スプリング,対策,blue,20,2
198,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('破損', '対策')",破損,対策,blue,20,2
199,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('恒久対策', '対策')",恒久対策,対策,blue,20,1
200,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,gray,20,"('決定次第', '対策')",決定次第,対策,blue,20,1
201,"('シュークリアランス', '原因')",シュークリアランス,原因,red,20,"('クリップ', '原因')",クリップ,原因,red,20,2
202,"('シュークリアランス', '原因')",シュークリアランス,原因,red,20,"('振動入力', '原因')",振動入力,原因,red,20,2
203,"('シュークリアランス', '原因')",シュークリアランス,原因,red,20,"('制動力', '原因')",制動力,原因,red,20,2
204,"('シュークリアランス', '原因')",シュークリアランス,原因,red,20,"('アジャスター', '原因')",アジャスター,原因,red,20,2
